method,mean_intensity,std_intensity,contrast_ratio,laplacian_variance,entropy,edge_density,dynamic_range,local_contrast_consistency,filename,split,source
clahe_percentile,0.7069433,0.20393895,0.2884795220214887,74.68048056508633,7.361042766316118,0.03847694396972656,1.0,24.835084082157525,6 BEEF Shoulder -1_grid_5x5_r1_c4_r9_c0.jpg,train,dataset_tile
mild_clahe_percentile,0.7418242,0.18216671,0.24556554309073833,58.530822191154584,7.14942027276439,0.029834747314453125,1.0,26.786433079599686,6 BEEF Shoulder -1_grid_5x5_r1_c4_r9_c0.jpg,train,dataset_tile
percentile_only,0.8106585,0.1396506,0.17226788271838747,19.148476695045247,6.498194480335126,0.011260986328125,1.0,38.17128501626259,6 BEEF Shoulder -1_grid_5x5_r1_c4_r9_c0.jpg,train,dataset_tile
current_zscore,-0.000762916,0.006347875,-8.331463243738247,0.1499080655630678,0.6874259480496028,0.0,0.037414808,810.8712557015083,6 BEEF Shoulder -1_grid_5x5_r6_c3_r5_c1.jpg,train,dataset_tile
clahe_percentile,0.6926869,0.21087079,0.304423944483401,90.5362859873336,7.336521095480169,0.07376766204833984,1.0,22.725969390183785,6 BEEF Shoulder -1_grid_5x5_r6_c3_r5_c1.jpg,train,dataset_tile
mild_clahe_percentile,0.7172732,0.19737211,0.2751696845920315,74.53657107218169,7.142654227483028,0.0621185302734375,1.0,23.282653631035735,6 BEEF Shoulder -1_grid_5x5_r6_c3_r5_c1.jpg,train,dataset_tile
percentile_only,0.76787394,0.17932916,0.23353953471844108,28.80626660049529,6.618047637754877,0.0215606689453125,1.0,28.729679404501756,6 BEEF Shoulder -1_grid_5x5_r6_c3_r5_c1.jpg,train,dataset_tile
current_zscore,-0.004990759,0.007984656,-1.6002087806810272,0.1114282606931738,0.8513892641254361,0.0,0.03725956,453.0250395348553,meattest-29_r1_c6.jpg,train,dataset_tile
clahe_percentile,0.6027823,0.23914923,0.39674162198215307,140.3639259274205,7.774031628051269,0.11545753479003906,1.0,15.620769038431352,meattest-29_r1_c6.jpg,train,dataset_tile
mild_clahe_percentile,0.6351488,0.22776462,0.3585998342997304,120.83083629496699,7.648640099100678,0.09803199768066406,1.0,15.483010116720385,meattest-29_r1_c6.jpg,train,dataset_tile
percentile_only,0.6602674,0.22073424,0.33430985700871363,57.3768129141381,7.489480524007626,0.045937538146972656,1.0,16.39446624620768,meattest-29_r1_c6.jpg,train,dataset_tile
current_zscore,0.0039219437,0.0037553487,0.9572782598349405,0.36044311452133115,0.9322375212371783,0.0,0.03725956,710.4738150749689,meattest-31_r4_c3.jpg,train,dataset_tile
clahe_percentile,0.8204719,0.13693346,0.16689577888421425,134.11170197832553,6.6695353194708,0.05370616912841797,1.0,26.294010160266055,meattest-31_r4_c3.jpg,train,dataset_tile
mild_clahe_percentile,0.8441695,0.12458041,0.14757731225331036,100.53486667960408,6.407617956012507,0.034343719482421875,1.0,25.121860503602004,meattest-31_r4_c3.jpg,train,dataset_tile
percentile_only,0.884777,0.10419009,0.11775845205389847,30.892925996863596,5.778278767650716,0.009555816650390625,1.0,25.629747819908967,meattest-31_r4_c3.jpg,train,dataset_tile
current_zscore,0.004033181,0.0019208615,0.476146607215285,0.368053435915499,0.9689211589292436,0.0,0.025771195,2722.397138027867,6 BEEF Shoulder -1_grid_5x5_r6_c3_r8_c3.jpg,train,dataset_tile
clahe_percentile,0.813683,0.10668135,0.1311090673809453,122.20316590914445,5.94115476663395,0.024710655212402344,1.0,51.84672496587289,6 BEEF Shoulder -1_grid_5x5_r6_c3_r8_c3.jpg,train,dataset_tile
mild_clahe_percentile,0.8401241,0.09149572,0.10890726360789926,86.19462004343103,5.686933777373533,0.006741523742675781,1.0,53.85950694890644,6 BEEF Shoulder -1_grid_5x5_r6_c3_r8_c3.jpg,train,dataset_tile
percentile_only,0.8521355,0.08302851,0.09743569512065237,32.18341603782028,5.091272990762703,0.0019702911376953125,1.0,63.175168396437726,6 BEEF Shoulder -1_grid_5x5_r6_c3_r8_c3.jpg,train,dataset_tile
current_zscore,0.0015411252,0.0066440254,4.3083565961475845,0.11200904842917225,1.0133520548628472,0.0,0.03710431,902.29202310191,meattest-31_r6_c0.jpg,train,dataset_tile
clahe_percentile,0.77688867,0.20790067,0.2676064331534837,82.72091112518319,7.01918954900392,0.03676891326904297,1.0,22.169672254774454,meattest-31_r6_c0.jpg,train,dataset_tile
